Ｈ25基準地番号,所在地,｢住居表示｣,地積(平方メートル),価格(円/平方メートル),変動率,周辺の土地利用,X座標,Y座標
(県)長泉-4,駿東郡長泉町上長窪字アラク289番9,,155,"66,300",0.0,一般住宅、農家住宅のほかに農地の多い住宅地域,34497.32643,-94440.46987
(県)長泉5-1,駿東郡長泉町下土狩字御藏上1344番3外,,160,"133,000",0.0,小規模な小売店舗等が見られる既成の商業地域,36203,-96578
(県)小山-1,駿東郡小山町用沢字原613番2,,271,"50,500",-1.0,中規模一般住宅が多い公共施設に近い住宅地域,40199,-72540
(県)小山-2,駿東郡小山町菅沼字将監塚350番21,,200,"42,600",-0.9,一般住宅、農家住宅等が混在する普通住宅地域,43288,-72386
(県)小山-3,駿東郡小山町須走字日向152番14,,193,"28,700",-3.4,一般住宅が建ち並ぶ小学校周辺の住宅地域,33362,-70500
(県)小山-4,駿東郡小山町柳島字炭畑64番1,,362,"24,000",-4.0,農家住宅の建ち並ぶ農地の多い山裾の住宅地域,43540.37741,-69715.57738
(県)小山-5,駿東郡小山町吉久保字西峯面81番7,,252,"40,000",-1.0,一般住宅が多いなか、農地、事業所も見られる住宅地域,41351.08242,-72452.21878
(県)小山-6,駿東郡小山町棚頭字尾尻沢493番5,,391,"33,500",-2.0,一般住宅、農家住宅が混在する農地の多い住宅地域,40981.52451,-71905.34467
(県)小山-7,駿東郡小山町用沢字野添883番11,,278,"32,000",-2.4,一般住宅、農家住宅が混在する農地の多い住宅地域,39549.80513,-72107.21853
(県)小山5-1,駿東郡小山町藤曲字落合54番27,,141,"52,200",-1.5,小規模小売店舗が建ち並ぶ路線商業地域,44381.65662,-70746.13703
(県)吉田-1,榛原郡吉田町住吉字東川端379番7,,200,"42,500",-5.3,中規模一般住宅を主とする分譲住宅地域,-22299.85618,-136931.219
(県)吉田-2,榛原郡吉田町片岡字東中瀬341番10,,213,"41,100",-3.5,中規模一般住宅が増えつつある新興住宅地域,-22662.1173,-135050.9325
(県)吉田5-1,榛原郡吉田町住吉字松原2232番11,,312,"41,100",-8.1,低層の店舗併用住宅が建ち並ぶ古くからの商業地域,-22555,-137779
(県)川根本-1,榛原郡川根本町上長尾字筒井1050番1,,333,"18,600",-2.1,一般住宅と農家住宅が混在し、既成集落を形成する地域,-38267,-105947
(県)川根本-2,榛原郡川根本町徳山字奈良間通1462番4,,169,"13,000",-2.3,一般住宅、農家住宅が散在する地域,-34788,-102459
(県)川根本-3,榛原郡川根本町千頭字海老根1001番3外,,211,"13,800",-2.1,一般住宅の中に小売店舗、公共施設等も混在する利便性の良い住宅地域,-32918,-98507
(県)川根本-4,榛原郡川根本町奥泉字前開土318番2,,532,"4,400",-2.2,農家住宅を主とする既存の山間小集落の住宅地域,-32206.67683,-94072.21109
(県)川根本5-1,榛原郡川根本町千頭字ドウセ坂下1215番8外,,217,"27,800",-2.5,低層店舗、併用住宅等が建ち並ぶ駅前商業地域,-32965.01407,-98826.09258
(県)森-1,周智郡森町睦実字谷口2743番8,,205,"31,700",-0.9,一般住宅のほか農地も多く見られる古くからの住宅地域,-52868.04969,-131002.3217
(県)森-2,周智郡森町谷中字権現623番16,,187,"29,000",-1.0,中規模一般住宅が建ち並ぶ郊外の丘陵地の住宅地域,-54900.03836,-131301.6822
(県)森5-1,周智郡森町森字十七夜前1003番6外,,219,"41,600",-1.0,小売店舗、事務所等が建ち並ぶ駅前の古くからの商業地域,-52689,-129471
(県)林-1,静岡市葵区桂山字長ハカ812番,,11593,11 ,-4.3,標高３００ｍ約２５度の北西向傾斜でひのきを主とする人工林地域,-14118,-99107
(県)林-2,浜松市北区都田町字北山7540番212,,9140,930 ,-1.1,標高１００ｍ約２０度の北向傾斜で農地に接続した雑木の自然林地域,-71329,-128589
(県)林-3,浜松市西区協和町字中ノ谷404番,,1136,980 ,-3.9,標高２０ｍ約１５度の北西傾斜の農地に接続する自然林地域,-80802,-139142
(県)林-4,沼津市西野字霞144番18,,2052,550 ,0.0,標高２００ｍ約２０度の西向傾斜の檜を主とする人工林地域,27579,-93007
(県)林-5,熱海市上多賀字片山1160番94,,1996,163 ,0.0,標高１８０ｍ約２８度の北東傾斜の農地に続くひのき、杉の人工林地域,51139,-104099
(県)林-6,富士宮市大中里字西ノ山1936番,,4770,590 ,-3.3,標高２８０ｍほぼ平坦な地域で杉、檜の人工林と雑木林の混在する地域,7790,-86276
(県)林-7,伊東市湯川字駒掛648番59,,1786,148 ,-1.3,標高２５０ｍ約２５度の東向傾斜地で檜等の混在林地域,53162,-112357
(県)林-8,島田市大草字菅ヶ谷236番1,,5480,490 ,-2.0,標高９０ｍ約３０度の南西向傾斜の雑木、用材林、茶畑の混在する地域,-28741,-126088
(県)林-9,富士市大渕字横道下11905番,,2502,375 ,-0.3,標高６００ｍ約１０度の南向傾斜の地域で杉、ひのきの人工林地域,19538,-83417
(県)林-10,磐田市笠梅字姥ケ谷1231番,,3012,950 ,-2.1,標高８０ｍ約２０度の南向傾斜の自然林地域,-57689,-135771
(県)林-11,掛川市和田字中ノ谷385番1,,3076,940 ,-2.1,標高８０ｍ約２０度の南向傾斜の人工林と自然林の混在する地域,-42942,-138790
(県)林-12,御殿場市二子字上ノ山540番,,5239,268 ,-0.7,標高約４３０ｍ約２０度の西傾斜の地域で杉、檜の人工林地域,39156,-82922
(県)林-13,御前崎市上朝比奈字北ノ前3761番,,2026,400 ,-2.4,標高６０ｍ約２４度の東傾斜の人工林と雑木林の混在地域,-32329,-147146
(県)林-14,浜松市北区三ヶ日町只木字東山1121番9外,,5282,318 ,-3.3,標高１８０ｍ位、針広葉樹にみかん畑が混じり、道路も整備された地域,-84836,-130571
(県)林-15,裾野市須山字向山2354番,,2214,125 ,0.0,標高６００ｍ約３５度の北西向傾斜の地域で杉、ひのきの人工林地域,31461,-83795
(県)林-16,湖西市岡崎字伊賀谷2586番13,,2733,"1,180 ",-4.1,標高３５ｍ約２８度の南西向傾斜地で農地に接続した雑木の自然林地域,-90799,-141177
(県)林-17,三島市佐野字二ノ入1481番1,,2102,"1,200 ",0.0,標高約２２０ｍ約１０度の南方傾斜地で檜等の人工林の多い地域,39612,-92443
(県)林-18,賀茂郡河津町小鍋字大杉342番,,4489,30 ,-3.2,標高約２５０ｍ約３０度の南傾斜で人工林と雑木林の混在する地域,40220,-135623
(県)林-19,富士宮市北山字大久保澤7429番81,,3861,411 ,-1.0,標高５６０ｍ約６度の南西向傾斜の地域で、杉及びひのきの人工林地域,11394,-76790
(県)林-20,藤枝市北方字姥ヶ沢2237番1,,1880,210 ,-2.3,標高約７０ｍ、約２５度の西向傾斜の竹、雑木を中心とした自然林地域,-23686,-118000
(県)林-21,浜松市天竜区佐久字タルノ沢397番,,1666,28.9 ,-2.0,標高３１０ｍ約３０度の南向傾斜の地域で杉、檜の人工林地域,-61543,-119384
(県)林-22,田方郡函南町平井字松峯1693番34,,1963,490 ,-2.0,標高２００ｍ１０度前後の西及び北西向傾斜で松、檜の混在する地域,44262,-99508
(県)林-23,伊豆市姫之湯字岩下660番,,7795,42 ,-2.3,標高約３００ｍ約３０度の東向傾斜地で杉、檜等が混在する地域,44132,-118964
(県)林-24,賀茂郡東伊豆町大川字左りモヂリ852番1,,19088,106 ,-0.9,標高３００ｍ約１５度の東向傾斜で雑木林と人工林の混在する地域,51020,-127165
(県)林-25,牧之原市勝田字土器谷2095番,,5858,"1,130 ",-2.6,標高１００ｍ約２０度の南傾斜地で茶畑の間に雑木林等の介在する地域,-30884,-135484
