Ｈ25基準地番号,所在地,｢住居表示｣,地積(平方メートル),価格(円/平方メートル),変動率,周辺の土地利用,X座標,Y座標
(県)藤枝-2,藤枝市岡出山3丁目10番5,「岡出山３−10−６」,216,"68,300",-0.7,一般住宅を主に事務所、アパート等が混在する住宅地域,-21860,-125354
(県)藤枝-3,藤枝市田沼3丁目19番9,「田沼３−19−10」,221,"101,000",1.0,中規模一般住宅を中心とした区画整理済みの住宅地域,-22295.55831,-128042.5929
(県)藤枝-4,藤枝市高柳1丁目184番1,「高柳１−９−５」,264,"73,500",0.7,中規模一般住宅が多く農地も見られる新興住宅地域,-21496.48012,-127511.7709
(県)藤枝-5,藤枝市茶町2丁目1035番4,「茶町２−12−５」,171,"63,500",-0.5,一般住宅が多い区画整理済みの住宅地域,-23229.45052,-125406.167
(県)藤枝-6,藤枝市南駿河台4丁目13番3,「南駿河台４−13−３」,295,"81,300",0.0,中規模一般住宅が多い区画整然とした新興住宅地域,-24410,-126368
(県)藤枝-7,藤枝市下藪田字宮脇26番15,,244,"49,800",-2.4,中規模一般住宅が多い開発された新興住宅地域,-22028.38744,-123180.3382
(県)藤枝-8,藤枝市志太2丁目430番5,「志太２−６−３」,181,"65,100",-0.6,中小規模一般住宅の中に農地が見られる新興住宅地域,-23156.78631,-126277.8145
(県)藤枝-9,藤枝市藤岡5丁目1番131,「藤岡５−24−19」,169,"60,500",-2.7,中規模一般住宅が建ち並ぶ区画整然とした住宅地域,-21409,-123795
(県)藤枝-10*,藤枝市小石川町2丁目818番6外,「小石川町２−４−23」,215,"78,700",0.5,一般住宅が多く、事務所等が見られる住宅地域,-22296.17414,-126937.8742
(県)藤枝-11,藤枝市五十海4丁目5番14,「五十海４−５−38」,236,"62,300",-1.7,中規模一般住宅が多い区画整理済みの新興住宅地域,-21856.05645,-124164.6856
(県)藤枝-12,藤枝市岡部町岡部字天神前378番1,,187,"51,800",-1.5,一般住宅の中に農地が見られる区画整理済みの新興住宅地域,-20194.4345,-120274.9735
(県)藤枝-13,藤枝市宮原字向島721番,,155,"24,100",-2.8,農家住宅、一般住宅が混在する周囲に農地の多い住宅地域,-27075.78793,-122068.9134
(県)藤枝-14,藤枝市青南町3丁目2番8,,234,"45,600",-0.9,中規模一般住宅のほかに農地が多く見られる住宅地域,-23903.8538,-129583.1481
(県)藤枝-15,藤枝市下当間56番,,263,"43,300",-2.3,一般住宅、農家住宅等が混在する既成の住宅地域,-19849.25931,-123089.6463
(県)藤枝-16,藤枝市岡部町村良字町の坪458番4外,,231,"33,100",-1.5,一般住宅、農家住宅等が混在する周囲に農地が多く見られる地域,-21183,-120104
(県)藤枝5-1,藤枝市高洲21番21外,,354,"76,500",0.0,中小規模の店舗等の他、一般住宅が見られる商業地域,-21530,-128864
(県)藤枝5-2,藤枝市田沼1丁目15番19外,「田沼１−15−13」,175,"108,000",0.0,中低層の店舗、事務所等が建ち並ぶ区画整理済みの近隣商業地域,-22266.85349,-127729.0146
